*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Feb  6 2025 20:33:19
*************************************************
parsing config file: /home/wzz/Pythia/config/bingo.ini

trace_0 /home/wzz/Pythia/traces/621.wrf_s-6673B.champsimtrace.xz
Heartbeat CPU  0 instructions:    2000002 cycles:     855280 heartbeat IPC: 2.40558 cumulative IPC: 2.33842 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    3000001 cycles:    1397325 heartbeat IPC: 1.84486 cumulative IPC: 2.14696 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2020503 heartbeat IPC: 1.60468 cumulative IPC: 1.97971 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:    5000001 cycles:    2652035 heartbeat IPC: 1.58345 cumulative IPC: 1.88534 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    3286297 heartbeat IPC: 1.57664 cumulative IPC: 1.82576 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3916243 heartbeat IPC: 1.58744 cumulative IPC: 1.78743 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4546956 heartbeat IPC: 1.58551 cumulative IPC: 1.75942 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    5174457 heartbeat IPC: 1.59362 cumulative IPC: 1.73931 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    5736244 heartbeat IPC: 1.78003 cumulative IPC: 1.74330 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    6125202 heartbeat IPC: 2.57097 cumulative IPC: 1.79586 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    6520690 heartbeat IPC: 2.52852 cumulative IPC: 1.84030 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:    6970280 heartbeat IPC: 2.22425 cumulative IPC: 1.86506 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   14000001 cycles:    7420900 heartbeat IPC: 2.21917 cumulative IPC: 1.88656 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    7881811 heartbeat IPC: 2.16962 cumulative IPC: 1.90312 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    8313688 heartbeat IPC: 2.31547 cumulative IPC: 1.92454 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    8678003 heartbeat IPC: 2.74489 cumulative IPC: 1.95898 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:    9038648 heartbeat IPC: 2.77281 cumulative IPC: 1.99145 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    9404842 heartbeat IPC: 2.73079 cumulative IPC: 2.02024 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9824919 heartbeat IPC: 2.38051 cumulative IPC: 2.03564 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   21000003 cycles:   10250076 heartbeat IPC: 2.35208 cumulative IPC: 2.04877 (Simulation time: 0 hr 1 min 27 sec) 
Heartbeat CPU  0 instructions:   22000000 cycles:   10682294 heartbeat IPC: 2.31364 cumulative IPC: 2.05948 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   11114850 heartbeat IPC: 2.31184 cumulative IPC: 2.06930 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   11453970 heartbeat IPC: 2.94881 cumulative IPC: 2.09534 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   11786024 heartbeat IPC: 3.01157 cumulative IPC: 2.12116 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   12165287 heartbeat IPC: 2.63669 cumulative IPC: 2.13723 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   27000002 cycles:   12551939 heartbeat IPC: 2.58631 cumulative IPC: 2.15106 (Simulation time: 0 hr 1 min 47 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   12918705 heartbeat IPC: 2.72653 cumulative IPC: 2.16740 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   13285131 heartbeat IPC: 2.72907 cumulative IPC: 2.18289 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   13651532 heartbeat IPC: 2.72925 cumulative IPC: 2.19756 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   14017940 heartbeat IPC: 2.72920 cumulative IPC: 2.21145 (Simulation time: 0 hr 2 min 1 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   14397440 heartbeat IPC: 2.63504 cumulative IPC: 2.22262 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   33000003 cycles:   14776956 heartbeat IPC: 2.63494 cumulative IPC: 2.23321 (Simulation time: 0 hr 2 min 8 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   15174661 heartbeat IPC: 2.51442 cumulative IPC: 2.24058 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   15626745 heartbeat IPC: 2.21198 cumulative IPC: 2.23975 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   16073200 heartbeat IPC: 2.23986 cumulative IPC: 2.23975 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:   37000002 cycles:   16573715 heartbeat IPC: 1.99795 cumulative IPC: 2.23245 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  0 instructions:   38000001 cycles:   16982319 heartbeat IPC: 2.44735 cumulative IPC: 2.23762 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   17383628 heartbeat IPC: 2.49185 cumulative IPC: 2.24349 (Simulation time: 0 hr 2 min 34 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   17769733 heartbeat IPC: 2.58997 cumulative IPC: 2.25102 (Simulation time: 0 hr 2 min 37 sec) 

Warmup complete CPU  0 instructions:   40000002 cycles:   17769734 (Simulation time: 0 hr 2 min 37 sec) 

Heartbeat CPU  0 instructions:   41000001 cycles:   18685803 heartbeat IPC: 1.09162 cumulative IPC: 1.09162 (Simulation time: 0 hr 2 min 42 sec) 
Heartbeat CPU  0 instructions:   42000001 cycles:   19461653 heartbeat IPC: 1.28891 cumulative IPC: 1.18209 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  0 instructions:   43000003 cycles:   22199441 heartbeat IPC: 0.36526 cumulative IPC: 0.67725 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   23166190 heartbeat IPC: 1.03439 cumulative IPC: 0.74123 (Simulation time: 0 hr 2 min 58 sec) 
Heartbeat CPU  0 instructions:   45000001 cycles:   24018045 heartbeat IPC: 1.17391 cumulative IPC: 0.80022 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  0 instructions:   46000003 cycles:   24813174 heartbeat IPC: 1.25766 cumulative IPC: 0.85186 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  0 instructions:   47000001 cycles:   25569891 heartbeat IPC: 1.32150 cumulative IPC: 0.89742 (Simulation time: 0 hr 3 min 11 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   26572242 heartbeat IPC: 0.99765 cumulative IPC: 0.90883 (Simulation time: 0 hr 3 min 15 sec) 
Heartbeat CPU  0 instructions:   49000000 cycles:   27513747 heartbeat IPC: 1.06213 cumulative IPC: 0.92364 (Simulation time: 0 hr 3 min 20 sec) 
Heartbeat CPU  0 instructions:   50000003 cycles:   28496612 heartbeat IPC: 1.01744 cumulative IPC: 0.93224 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  0 instructions:   51000001 cycles:   29429129 heartbeat IPC: 1.07236 cumulative IPC: 0.94345 (Simulation time: 0 hr 3 min 30 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   31134468 heartbeat IPC: 0.58639 cumulative IPC: 0.89789 (Simulation time: 0 hr 3 min 36 sec) 
Heartbeat CPU  0 instructions:   53000000 cycles:   32144603 heartbeat IPC: 0.98997 cumulative IPC: 0.90436 (Simulation time: 0 hr 3 min 41 sec) 
Heartbeat CPU  0 instructions:   54000000 cycles:   33077591 heartbeat IPC: 1.07183 cumulative IPC: 0.91456 (Simulation time: 0 hr 3 min 46 sec) 
Heartbeat CPU  0 instructions:   55000000 cycles:   33995974 heartbeat IPC: 1.08887 cumulative IPC: 0.92443 (Simulation time: 0 hr 3 min 51 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   35220826 heartbeat IPC: 0.81643 cumulative IPC: 0.91685 (Simulation time: 0 hr 3 min 56 sec) 
Heartbeat CPU  0 instructions:   57000002 cycles:   36788825 heartbeat IPC: 0.63776 cumulative IPC: 0.89384 (Simulation time: 0 hr 4 min 2 sec) 
Heartbeat CPU  0 instructions:   58000002 cycles:   37682270 heartbeat IPC: 1.11926 cumulative IPC: 0.90395 (Simulation time: 0 hr 4 min 7 sec) 
Heartbeat CPU  0 instructions:   59000003 cycles:   39071673 heartbeat IPC: 0.71973 cumulative IPC: 0.89194 (Simulation time: 0 hr 4 min 12 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   40073009 heartbeat IPC: 0.99866 cumulative IPC: 0.89673 (Simulation time: 0 hr 4 min 17 sec) 
Heartbeat CPU  0 instructions:   61000002 cycles:   41048173 heartbeat IPC: 1.02547 cumulative IPC: 0.90212 (Simulation time: 0 hr 4 min 22 sec) 
Heartbeat CPU  0 instructions:   62000000 cycles:   42023607 heartbeat IPC: 1.02518 cumulative IPC: 0.90707 (Simulation time: 0 hr 4 min 27 sec) 
Heartbeat CPU  0 instructions:   63000000 cycles:   42982653 heartbeat IPC: 1.04270 cumulative IPC: 0.91223 (Simulation time: 0 hr 4 min 31 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   43891472 heartbeat IPC: 1.10033 cumulative IPC: 0.91877 (Simulation time: 0 hr 4 min 36 sec) 
Heartbeat CPU  0 instructions:   65000001 cycles:   44815235 heartbeat IPC: 1.08253 cumulative IPC: 0.92437 (Simulation time: 0 hr 4 min 41 sec) 
Heartbeat CPU  0 instructions:   66000002 cycles:   45726102 heartbeat IPC: 1.09786 cumulative IPC: 0.93002 (Simulation time: 0 hr 4 min 46 sec) 
Heartbeat CPU  0 instructions:   67000001 cycles:   48621754 heartbeat IPC: 0.34535 cumulative IPC: 0.87515 (Simulation time: 0 hr 4 min 53 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   51626976 heartbeat IPC: 0.33275 cumulative IPC: 0.82700 (Simulation time: 0 hr 5 min 1 sec) 
Heartbeat CPU  0 instructions:   69000000 cycles:   53255102 heartbeat IPC: 0.61420 cumulative IPC: 0.81724 (Simulation time: 0 hr 5 min 7 sec) 
Heartbeat CPU  0 instructions:   70000003 cycles:   54572208 heartbeat IPC: 0.75924 cumulative IPC: 0.81516 (Simulation time: 0 hr 5 min 12 sec) 
Heartbeat CPU  0 instructions:   71000002 cycles:   55380247 heartbeat IPC: 1.23756 cumulative IPC: 0.82424 (Simulation time: 0 hr 5 min 17 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   56154842 heartbeat IPC: 1.29099 cumulative IPC: 0.83366 (Simulation time: 0 hr 5 min 21 sec) 
Heartbeat CPU  0 instructions:   73000002 cycles:   56900445 heartbeat IPC: 1.34120 cumulative IPC: 0.84333 (Simulation time: 0 hr 5 min 25 sec) 
Heartbeat CPU  0 instructions:   74000002 cycles:   57633235 heartbeat IPC: 1.36465 cumulative IPC: 0.85291 (Simulation time: 0 hr 5 min 29 sec) 
Heartbeat CPU  0 instructions:   75000000 cycles:   58625031 heartbeat IPC: 1.00827 cumulative IPC: 0.85668 (Simulation time: 0 hr 5 min 34 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   59546009 heartbeat IPC: 1.08580 cumulative IPC: 0.86173 (Simulation time: 0 hr 5 min 39 sec) 
Heartbeat CPU  0 instructions:   77000003 cycles:   60454538 heartbeat IPC: 1.10068 cumulative IPC: 0.86682 (Simulation time: 0 hr 5 min 44 sec) 
Heartbeat CPU  0 instructions:   78000001 cycles:   61335585 heartbeat IPC: 1.13501 cumulative IPC: 0.87224 (Simulation time: 0 hr 5 min 49 sec) 
Heartbeat CPU  0 instructions:   79000000 cycles:   63220046 heartbeat IPC: 0.53066 cumulative IPC: 0.85808 (Simulation time: 0 hr 5 min 56 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   64164145 heartbeat IPC: 1.05921 cumulative IPC: 0.86217 (Simulation time: 0 hr 6 min 0 sec) 
Heartbeat CPU  0 instructions:   81000002 cycles:   65071290 heartbeat IPC: 1.10236 cumulative IPC: 0.86678 (Simulation time: 0 hr 6 min 5 sec) 
Heartbeat CPU  0 instructions:   82000001 cycles:   65968837 heartbeat IPC: 1.11415 cumulative IPC: 0.87139 (Simulation time: 0 hr 6 min 10 sec) 
Heartbeat CPU  0 instructions:   83000001 cycles:   67453696 heartbeat IPC: 0.67346 cumulative IPC: 0.86547 (Simulation time: 0 hr 6 min 16 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   68486419 heartbeat IPC: 0.96831 cumulative IPC: 0.86756 (Simulation time: 0 hr 6 min 21 sec) 
Heartbeat CPU  0 instructions:   85000003 cycles:   69566602 heartbeat IPC: 0.92577 cumulative IPC: 0.86878 (Simulation time: 0 hr 6 min 26 sec) 
Heartbeat CPU  0 instructions:   86000000 cycles:   70589789 heartbeat IPC: 0.97734 cumulative IPC: 0.87088 (Simulation time: 0 hr 6 min 31 sec) 
Heartbeat CPU  0 instructions:   87000003 cycles:   71533851 heartbeat IPC: 1.05926 cumulative IPC: 0.87419 (Simulation time: 0 hr 6 min 36 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:   72464387 heartbeat IPC: 1.07465 cumulative IPC: 0.87760 (Simulation time: 0 hr 6 min 41 sec) 
Heartbeat CPU  0 instructions:   89000002 cycles:   73401816 heartbeat IPC: 1.06675 cumulative IPC: 0.88079 (Simulation time: 0 hr 6 min 46 sec) 
Heartbeat CPU  0 instructions:   90000003 cycles:   74335579 heartbeat IPC: 1.07094 cumulative IPC: 0.88393 (Simulation time: 0 hr 6 min 51 sec) 
Heartbeat CPU  0 instructions:   91000001 cycles:   75238415 heartbeat IPC: 1.10762 cumulative IPC: 0.88744 (Simulation time: 0 hr 6 min 56 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:   76122631 heartbeat IPC: 1.13094 cumulative IPC: 0.89113 (Simulation time: 0 hr 7 min 1 sec) 
Heartbeat CPU  0 instructions:   93000001 cycles:   77075134 heartbeat IPC: 1.04987 cumulative IPC: 0.89368 (Simulation time: 0 hr 7 min 5 sec) 
Heartbeat CPU  0 instructions:   94000002 cycles:   79828733 heartbeat IPC: 0.36316 cumulative IPC: 0.87014 (Simulation time: 0 hr 7 min 13 sec) 
Heartbeat CPU  0 instructions:   95000003 cycles:   81527629 heartbeat IPC: 0.58862 cumulative IPC: 0.86264 (Simulation time: 0 hr 7 min 19 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:   84051626 heartbeat IPC: 0.39620 cumulative IPC: 0.84488 (Simulation time: 0 hr 7 min 26 sec) 
Heartbeat CPU  0 instructions:   97000003 cycles:   85655553 heartbeat IPC: 0.62347 cumulative IPC: 0.83965 (Simulation time: 0 hr 7 min 32 sec) 
Heartbeat CPU  0 instructions:   98000003 cycles:   87628984 heartbeat IPC: 0.50673 cumulative IPC: 0.83024 (Simulation time: 0 hr 7 min 38 sec) 
Heartbeat CPU  0 instructions:   99000000 cycles:   89511771 heartbeat IPC: 0.53113 cumulative IPC: 0.82239 (Simulation time: 0 hr 7 min 45 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:   92010982 heartbeat IPC: 0.40013 cumulative IPC: 0.80818 (Simulation time: 0 hr 7 min 52 sec) 
Heartbeat CPU  0 instructions:  101000000 cycles:   93521553 heartbeat IPC: 0.66200 cumulative IPC: 0.80526 (Simulation time: 0 hr 7 min 57 sec) 
Heartbeat CPU  0 instructions:  102000003 cycles:   94259895 heartbeat IPC: 1.35439 cumulative IPC: 0.81056 (Simulation time: 0 hr 8 min 1 sec) 
Heartbeat CPU  0 instructions:  103000002 cycles:   94969844 heartbeat IPC: 1.40855 cumulative IPC: 0.81606 (Simulation time: 0 hr 8 min 5 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:   95680895 heartbeat IPC: 1.40637 cumulative IPC: 0.82145 (Simulation time: 0 hr 8 min 10 sec) 
Heartbeat CPU  0 instructions:  105000001 cycles:   96386080 heartbeat IPC: 1.41807 cumulative IPC: 0.82680 (Simulation time: 0 hr 8 min 14 sec) 
Heartbeat CPU  0 instructions:  106000000 cycles:   97249896 heartbeat IPC: 1.15765 cumulative IPC: 0.83040 (Simulation time: 0 hr 8 min 18 sec) 
Heartbeat CPU  0 instructions:  107000001 cycles:   97920991 heartbeat IPC: 1.49010 cumulative IPC: 0.83592 (Simulation time: 0 hr 8 min 22 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:   98568771 heartbeat IPC: 1.54373 cumulative IPC: 0.84159 (Simulation time: 0 hr 8 min 26 sec) 
Heartbeat CPU  0 instructions:  109000000 cycles:   99213857 heartbeat IPC: 1.55018 cumulative IPC: 0.84721 (Simulation time: 0 hr 8 min 30 sec) 
Heartbeat CPU  0 instructions:  110000001 cycles:   99859887 heartbeat IPC: 1.54792 cumulative IPC: 0.85272 (Simulation time: 0 hr 8 min 34 sec) 
Heartbeat CPU  0 instructions:  111000003 cycles:  100623445 heartbeat IPC: 1.30966 cumulative IPC: 0.85693 (Simulation time: 0 hr 8 min 38 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:  101434584 heartbeat IPC: 1.23283 cumulative IPC: 0.86058 (Simulation time: 0 hr 8 min 42 sec) 
Heartbeat CPU  0 instructions:  113000003 cycles:  102128503 heartbeat IPC: 1.44109 cumulative IPC: 0.86535 (Simulation time: 0 hr 8 min 47 sec) 
Heartbeat CPU  0 instructions:  114000000 cycles:  102798150 heartbeat IPC: 1.49332 cumulative IPC: 0.87030 (Simulation time: 0 hr 8 min 51 sec) 
Heartbeat CPU  0 instructions:  115000002 cycles:  103490112 heartbeat IPC: 1.44517 cumulative IPC: 0.87494 (Simulation time: 0 hr 8 min 55 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:  104419352 heartbeat IPC: 1.07615 cumulative IPC: 0.87710 (Simulation time: 0 hr 8 min 59 sec) 
Heartbeat CPU  0 instructions:  117000000 cycles:  105441683 heartbeat IPC: 0.97816 cumulative IPC: 0.87827 (Simulation time: 0 hr 9 min 4 sec) 
Heartbeat CPU  0 instructions:  118000000 cycles:  106752664 heartbeat IPC: 0.76279 cumulative IPC: 0.87657 (Simulation time: 0 hr 9 min 9 sec) 
Heartbeat CPU  0 instructions:  119000003 cycles:  107447061 heartbeat IPC: 1.44010 cumulative IPC: 0.88094 (Simulation time: 0 hr 9 min 14 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:  108142209 heartbeat IPC: 1.43854 cumulative IPC: 0.88523 (Simulation time: 0 hr 9 min 18 sec) 
Heartbeat CPU  0 instructions:  121000003 cycles:  108838434 heartbeat IPC: 1.43632 cumulative IPC: 0.88944 (Simulation time: 0 hr 9 min 22 sec) 
Heartbeat CPU  0 instructions:  122000002 cycles:  109534224 heartbeat IPC: 1.43721 cumulative IPC: 0.89359 (Simulation time: 0 hr 9 min 26 sec) 
Heartbeat CPU  0 instructions:  123000002 cycles:  110209599 heartbeat IPC: 1.48066 cumulative IPC: 0.89788 (Simulation time: 0 hr 9 min 30 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:  110852570 heartbeat IPC: 1.55528 cumulative IPC: 0.90242 (Simulation time: 0 hr 9 min 34 sec) 
Heartbeat CPU  0 instructions:  125000001 cycles:  111495978 heartbeat IPC: 1.55423 cumulative IPC: 0.90690 (Simulation time: 0 hr 9 min 38 sec) 
Heartbeat CPU  0 instructions:  126000003 cycles:  112139169 heartbeat IPC: 1.55475 cumulative IPC: 0.91131 (Simulation time: 0 hr 9 min 42 sec) 
Heartbeat CPU  0 instructions:  127000001 cycles:  112783425 heartbeat IPC: 1.55217 cumulative IPC: 0.91566 (Simulation time: 0 hr 9 min 46 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:  113433771 heartbeat IPC: 1.53764 cumulative IPC: 0.91989 (Simulation time: 0 hr 9 min 50 sec) 
Heartbeat CPU  0 instructions:  129000000 cycles:  114107522 heartbeat IPC: 1.48423 cumulative IPC: 0.92383 (Simulation time: 0 hr 9 min 54 sec) 
Heartbeat CPU  0 instructions:  130000003 cycles:  114776384 heartbeat IPC: 1.49508 cumulative IPC: 0.92777 (Simulation time: 0 hr 9 min 58 sec) 
Heartbeat CPU  0 instructions:  131000002 cycles:  115448184 heartbeat IPC: 1.48854 cumulative IPC: 0.93163 (Simulation time: 0 hr 10 min 2 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:  116116279 heartbeat IPC: 1.49679 cumulative IPC: 0.93547 (Simulation time: 0 hr 10 min 6 sec) 
Heartbeat CPU  0 instructions:  133000001 cycles:  116870704 heartbeat IPC: 1.32551 cumulative IPC: 0.93844 (Simulation time: 0 hr 10 min 11 sec) 
Heartbeat CPU  0 instructions:  134000003 cycles:  117818862 heartbeat IPC: 1.05468 cumulative IPC: 0.93954 (Simulation time: 0 hr 10 min 15 sec) 
Heartbeat CPU  0 instructions:  135000001 cycles:  119071409 heartbeat IPC: 0.79837 cumulative IPC: 0.93779 (Simulation time: 0 hr 10 min 20 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:  119766079 heartbeat IPC: 1.43953 cumulative IPC: 0.94121 (Simulation time: 0 hr 10 min 24 sec) 
Heartbeat CPU  0 instructions:  137000001 cycles:  120462093 heartbeat IPC: 1.43675 cumulative IPC: 0.94457 (Simulation time: 0 hr 10 min 29 sec) 
Heartbeat CPU  0 instructions:  138000000 cycles:  121158943 heartbeat IPC: 1.43503 cumulative IPC: 0.94787 (Simulation time: 0 hr 10 min 33 sec) 
Heartbeat CPU  0 instructions:  139000000 cycles:  121858379 heartbeat IPC: 1.42972 cumulative IPC: 0.95111 (Simulation time: 0 hr 10 min 37 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:  122532014 heartbeat IPC: 1.48448 cumulative IPC: 0.95454 (Simulation time: 0 hr 10 min 41 sec) 
Finished CPU 0 instructions: 100000000 cycles: 104762293 cumulative IPC: 0.95454 (Simulation time: 0 hr 10 min 41 sec) 

ChampSim completed all CPUs

[ROI Statistics]
Core_0_instructions 100000000
Core_0_cycles 104762293
Core_0_IPC 0.95454

Core_0_branch_prediction_accuracy 99.14191
Core_0_branch_MPKI 0.37474
Core_0_average_ROB_occupancy_at_mispredict 228.04400

Core_0_L1D_total_access 25394367
Core_0_L1D_total_hit 22718161
Core_0_L1D_total_miss 2676206
Core_0_L1D_loads 20797159
Core_0_L1D_load_hit 18544820
Core_0_L1D_load_miss 2252339
Core_0_L1D_RFOs 4597208
Core_0_L1D_RFO_hit 4173341
Core_0_L1D_RFO_miss 423867
Core_0_L1D_prefetches 0
Core_0_L1D_prefetch_hit 0
Core_0_L1D_prefetch_miss 0
Core_0_L1D_writebacks 0
Core_0_L1D_writeback_hit 0
Core_0_L1D_writeback_miss 0
Core_0_L1D_prefetch_requested 0
Core_0_L1D_prefetch_dropped 0
Core_0_L1D_prefetch_issued 0
Core_0_L1D_prefetch_filled 0
Core_0_L1D_prefetch_useful 0
Core_0_L1D_prefetch_useless 0
Core_0_L1D_prefetch_late 0
Core_0_L1D_average_miss_latency 94.01648

Core_0_L1D_rq_access 32637594
Core_0_L1D_rq_forward 0
Core_0_L1D_rq_merged 10663043
Core_0_L1D_rq_to_cache 21968625
Core_0_L1D_rq_full 0

